manufacturer,series_code,product_name,tool_type,model_family,outside_diameter_mm,corner_radius_label,effective_length_mm,work_material,hardness,material_group,spindle_rpm,feed_rate_mm_min,axial_depth_mm,radial_depth_mm,source_url,source_page,memo
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.3,0.1,-,0.3,S50C,,Carbon steels,40000,150.0,0.005,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.3,0.1,-,0.3,SCM/SKD/SUS,,Alloy / stainless steels,32000,120.0,0.005,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。カタログ※1に基づき合金鋼・ステンレス鋼は回転数・送り80%換算。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.3,0.1,-,0.3,NAK55/NAK80/HPM1,~43HRC,Prehardened steels,40000,120.0,0.004,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.3,0.1,-,0.3,銅・アルミニウム合金,,Copper / aluminum alloys,40000,150.0,0.006,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.5,0.1,-,0.5,S50C,,Carbon steels,40000,100.0,0.004,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.5,0.1,-,0.5,SCM/SKD/SUS,,Alloy / stainless steels,32000,80.0,0.004,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。カタログ※1に基づき合金鋼・ステンレス鋼は回転数・送り80%換算。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.5,0.1,-,0.5,NAK55/NAK80/HPM1,~43HRC,Prehardened steels,40000,75.0,0.003,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.5,0.1,-,0.5,銅・アルミニウム合金,,Copper / aluminum alloys,40000,100.0,0.005,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.75,0.1,-,0.75,S50C,,Carbon steels,40000,60.0,0.003,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.75,0.1,-,0.75,SCM/SKD/SUS,,Alloy / stainless steels,32000,48.0,0.003,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。カタログ※1に基づき合金鋼・ステンレス鋼は回転数・送り80%換算。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.75,0.1,-,0.75,NAK55/NAK80/HPM1,~43HRC,Prehardened steels,40000,50.0,0.002,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x0.75,0.1,-,0.75,銅・アルミニウム合金,,Copper / aluminum alloys,40000,60.0,0.003,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x1,0.1,-,1.0,S50C,,Carbon steels,40000,40.0,0.002,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x1,0.1,-,1.0,SCM/SKD/SUS,,Alloy / stainless steels,32000,32.0,0.002,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。カタログ※1に基づき合金鋼・ステンレス鋼は回転数・送り80%換算。
NS TOOL,MHR230,無限コーティング 2枚刃ロングネックエンドミル（深リブ用） MHR230,SQUARE,MHR230 φ0.1x1,0.1,-,1.0,NAK55/NAK80/HPM1,~43HRC,Prehardened steels,40000,30.0,0.002,0.1,https://www.ns-tool.com/ja/products/webcatalog/data/MHR230/MHR230_S.xlsx,,日進工具 公式切削条件参考表(XLSX)。深リブ・溝加工条件のためae=工具径として登録。
