manufacturer,series_code,product_name,drill_diameter_mm,work_material,hardness,material_group,app_material,spindle_rpm,feed_per_rev_min,feed_per_rev_max,max_depth_ratio,source_url,source_page,memo
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),2.0,S50C,~210HB,Carbon steel,鉄,12700,0.04,0.08,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),3.0,S50C,~210HB,Carbon steel,鉄,10600,0.06,0.12,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),4.0,S50C,~210HB,Carbon steel,鉄,8000,0.08,0.16,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),5.0,S50C,~210HB,Carbon steel,鉄,6400,0.1,0.2,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),6.0,S50C,~210HB,Carbon steel,鉄,5300,0.12,0.24,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),7.0,S50C,~210HB,Carbon steel,鉄,4500,0.14,0.26,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),8.0,S50C,~210HB,Carbon steel,鉄,4000,0.16,0.28,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),9.0,S50C,~210HB,Carbon steel,鉄,3500,0.18,0.3,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),10.0,S50C,~210HB,Carbon steel,鉄,3200,0.2,0.3,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),11.0,S50C,~210HB,Carbon steel,鉄,2900,0.2,0.3,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),12.0,S50C,~210HB,Carbon steel,鉄,2700,0.21,0.3,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),14.0,S50C,~210HB,Carbon steel,鉄,2300,0.22,0.35,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),16.0,S50C,~210HB,Carbon steel,鉄,2000,0.25,0.36,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),18.0,S50C,~210HB,Carbon steel,鉄,1800,0.28,0.38,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),20.0,S50C,~210HB,Carbon steel,鉄,1600,0.3,0.4,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),2.0,SCM,16~28HRC,Alloy steel,,12700,0.04,0.08,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),3.0,SCM,16~28HRC,Alloy steel,,10600,0.06,0.12,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
OSG,ADO,Carbide Drill ADO-3D/5D/8D (with oil hole),4.0,SCM,16~28HRC,Alloy steel,,8000,0.08,0.16,8,https://www.osg.co.jp/media_dl/flier/file/n_116.pdf,52,PDF checked. Cutting Conditions ADO-3D/5D/8D. Water-soluble coolant or MQL. Depth <= 8D.
