manufacturer,series_code,product_name,tool_type,model_family,outside_diameter_mm,corner_radius_label,effective_length_mm,work_material,hardness,material_group,spindle_rpm,feed_rate_mm_min,axial_depth_mm,radial_depth_mm,source_url,source_page,memo
OSG,AE-VMS,Anti-Vibration Short Carbide End Mill AE-VMS,SQUARE,AE-VMS-RA,3.0,RA,4.5,S50C,,Carbon steel,9660,1160.0,4.5,0.6,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,7,"PDF checked. Cutting Data: Right Angle Type, Side Milling."
OSG,AE-VMS,Anti-Vibration Short Carbide End Mill AE-VMS,SQUARE,AE-VMS,6.0,-,9.0,SCM440,,Alloy steel,7500,1800.0,9.0,1.2,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,8,"PDF checked. Cutting Data: Side Milling."
OSG,AE-VMS,Anti-Vibration Short Carbide End Mill AE-VMS,SQUARE,AE-VMS,10.0,-,10.0,SUS304,,Stainless steel,2250,475.0,10.0,10.0,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,9,"PDF checked. Cutting Data: Slot Milling. Radial depth set to full diameter for slotting."
OSG,AE-VMS,Anti-Vibration Short Carbide End Mill AE-VMS,RADIUS,AE-VMS-R1,6.0,R1,3.0,SUS304,,Stainless steel,4200,830.0,3.0,6.0,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,10,"PDF checked. Cutting Data: Slot Milling. Radial depth set to full diameter for slotting."
OSG,AE-VMS,Anti-Vibration Short Carbide End Mill AE-VMS,RADIUS,AE-VMS-R1,6.0,R1,9.0,S50C,,Carbon steel,6900,1970.0,9.0,1.2,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,11,"PDF checked. Cutting Data: Side Milling."
OSG,AE-VMSS,Anti-Vibration Stub Carbide End Mill AE-VMSS,SQUARE,AE-VMSS-30,6.0,-,9.0,S50C,,Carbon steel,5570,1660.0,9.0,0.12,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,11,"PDF checked. Cutting Data: Side Milling, overhang 5D."
OSG,AE-VML,Anti-Vibration Long Carbide End Mill AE-VML with Chipbreaker,SQUARE,AE-VML-N,10.0,-,40.0,NAK80,40HRC,Prehardened steel,3800,1140.0,40.0,0.5,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,36,"PDF checked. Cutting Data: Trochoidal Milling."
OSG,AE-VMFE,Anti-Vibration Carbide End Mill for Deep Side Milling AE-VMFE,SQUARE,AE-VMFE,12.0,-,30.0,SKD61,40HRC,Hardened steel,3183,1061.0,18.0,0.05,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,43,"PDF checked. Cutting Data: Side Step Milling."
OSG,AE-VML,Anti-Vibration Long Carbide End Mill AE-VML,SQUARE,AE-VML L/D=3,6.0,-,19.0,S55C,,Carbon steel,5300,1230.0,18.0,1.2,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,38,"PDF checked. Cutting Data: High Efficiency Side Milling 3D, ae<=0.2D. ap=3D, ae=0.2D. Flute length from dimension table p.33. High-speed MC and rigid holder assumed."
OSG,AE-VML,Anti-Vibration Long Carbide End Mill AE-VML,SQUARE,AE-VML L/D=3,6.0,-,19.0,SCM,~30HRC,Alloy steel,4200,890.0,18.0,1.2,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,38,"PDF checked. Cutting Data: High Efficiency Side Milling 3D, ae<=0.2D. ap=3D, ae=0.2D. Flute length from dimension table p.33. High-speed MC and rigid holder assumed."
OSG,AE-VML,Anti-Vibration Long Carbide End Mill AE-VML,SQUARE,AE-VML L/D=3,6.0,-,19.0,SUS304,<=200HB,Stainless steel,3500,670.0,18.0,1.2,https://www.osg.co.jp/media_dl/flier/file/n_115.pdf,38,"PDF checked. Cutting Data: High Efficiency Side Milling 3D, ae<=0.2D. ap=3D, ae=0.2D. Flute length from dimension table p.33. High-speed MC and rigid holder assumed."
