manufacturer,series_code,product_name,tool_type,model_family,outside_diameter_mm,corner_radius_label,effective_length_mm,work_material,hardness,material_group,spindle_rpm,feed_rate_mm_min,axial_depth_mm,radial_depth_mm,source_url,source_page,memo
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,2.0,NAK/STAVAX,~55HRC,Prehardened/Hardened steels,15300,1200.0,0.004,0.027,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,2.0,SKD11,55~62HRC,Hardened steels,10300,710.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,2.0,HAP10,62~66HRC,Hardened steels,8900,800.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,2.0,HAP72,66~70HRC,Hardened steels,8600,780.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,3.0,NAK/STAVAX,~55HRC,Prehardened/Hardened steels,13200,1150.0,0.004,0.027,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,3.0,SKD11,55~62HRC,Hardened steels,9400,680.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,3.0,HAP10,62~66HRC,Hardened steels,8500,770.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,3.0,HAP72,66~70HRC,Hardened steels,8300,750.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,4.0,NAK/STAVAX,~55HRC,Prehardened/Hardened steels,12000,1070.0,0.003,0.024,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
UNION TOOL,HGLRS,HMGCOAT 4 Flute Long Neck Radius End Mills for Hard Materials HGLRS,RADIUS,4010,1.0,R0.02,4.0,SKD11,55~62HRC,Hardened steels,8500,640.0,0.003,0.003,https://www.uniontool.co.jp/assets/pdf/catalog/endmill_hglrs_20220602.pdf,10,"Extracted from official PDF milling conditions table. For slot milling, reduce feed rate by at least 50%."
